split,segment_correct,segment_total,segment_accuracy,record_correct,record_total,record_accuracy,macro_f1,balanced_accuracy,record_macro_f1,record_balanced_accuracy,eerg_applied_segments,rbbb_delay_applied_segments,NSR_correct,NSR_total,NSR_recall,NSR_precision,NSR_f1,CHF_correct,CHF_total,CHF_recall,CHF_precision,CHF_f1,ARR_correct,ARR_total,ARR_recall,ARR_precision,ARR_f1,AFF_correct,AFF_total,AFF_recall,AFF_precision,AFF_f1
train,313,400,0.7825,41,50,0.82,0.7822217100795485,0.7825,0.8174242424242424,0.8369949494949495,33,14,84,100,0.84,0.8316831683168316,0.835820895522388,76,100,0.76,0.8172043010752689,0.7875647668393783,71,100,0.71,0.7319587628865979,0.7208121827411167,82,100,0.82,0.7522935779816514,0.784688995215311
val,136,160,0.85,18,20,0.9,0.8491121961701501,0.85,0.9097222222222222,0.9,11,5,36,40,0.9,0.8780487804878049,0.888888888888889,31,40,0.775,0.9117647058823529,0.8378378378378379,38,40,0.95,0.7755102040816326,0.8539325842696629,31,40,0.775,0.8611111111111112,0.8157894736842106
test,131,160,0.81875,18,19,0.9473684210526315,0.8193297913318238,0.81875,0.9575163398692811,0.9722222222222222,6,10,31,40,0.775,0.8378378378378378,0.8051948051948051,37,40,0.925,0.925,0.925,28,40,0.7,0.6666666666666666,0.6829268292682926,35,40,0.875,0.8536585365853658,0.8641975308641976
