split,baseline,record_accuracy,record_correct,record_total,macro_f1,balanced_accuracy
train,majority_vote,0.4,14,35,0.32196969696969696,0.3888888888888889
train,mean_c24_mem,0.4,14,35,0.3358385093167702,0.3888888888888889
val,majority_vote,0.4166666666666667,5,12,0.3464285714285714,0.41666666666666663
val,mean_c24_mem,0.3333333333333333,4,12,0.23333333333333334,0.3333333333333333
test,majority_vote,0.5833333333333334,7,12,0.5928571428571429,0.5833333333333333
test,mean_c24_mem,0.5833333333333334,7,12,0.5928571428571429,0.5833333333333333
