candidate_id,kind,params,complexity,train_accuracy,train_macro_f1,train_balanced_accuracy,train_recall_range,val_accuracy,val_macro_f1,val_balanced_accuracy,val_recall_range,val_min_recall
2601,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": [30, 0, 150, 5], ""arr"": [9, 0, 10], ""nsr"": null}",3,0.7647058823529411,0.7619047619047619,0.7647058823529411,0.2941176470588235,0.84375,0.8352941176470589,0.84375,0.5,0.5
2602,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": [30, 0, 150, 5], ""arr"": [9, 0, 10], ""nsr"": null}",3,0.75,0.7466201423097975,0.75,0.2941176470588235,0.84375,0.8352941176470589,0.84375,0.5,0.5
2603,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": [30, 0, 150, 5], ""arr"": [9, 0, 10], ""nsr"": null}",3,0.75,0.7466201423097975,0.75,0.2941176470588235,0.8125,0.8041666666666667,0.8125,0.5,0.5
2604,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": [30, 0, 150, 10], ""arr"": [9, 0, 10], ""nsr"": null}",2,0.7647058823529411,0.7619047619047619,0.7647058823529411,0.2941176470588235,0.78125,0.7725490196078432,0.78125,0.5,0.5
2605,guarded_rule,"{""aff_persistent"": [8, 3, 500], ""aff_quiet"": [30, 0, 150, 10], ""arr"": [9, 0, 10], ""nsr"": null}",3,0.7352941176470589,0.7312091503267975,0.7352941176470589,0.2941176470588235,0.8125,0.8031746031746032,0.8125,0.5,0.5
2606,guarded_rule,"{""aff_persistent"": [8, 3, 2000], ""aff_quiet"": [30, 0, 150, 10], ""arr"": [9, 0, 10], ""nsr"": null}",3,0.75,0.7466201423097975,0.75,0.2941176470588235,0.8125,0.8031746031746032,0.8125,0.5,0.5
2607,guarded_rule,"{""aff_persistent"": [8, 3, 2500], ""aff_quiet"": [30, 0, 150, 10], ""arr"": [9, 0, 10], ""nsr"": null}",3,0.7647058823529411,0.7619047619047619,0.7647058823529411,0.2941176470588235,0.8125,0.8031746031746032,0.8125,0.5,0.5
2608,guarded_rule,"{""aff_persistent"": [18, 3, 500], ""aff_quiet"": [30, 0, 150, 10], ""arr"": [9, 0, 10], ""nsr"": null}",3,0.75,0.7466201423097975,0.75,0.2941176470588235,0.8125,0.8031746031746032,0.8125,0.5,0.5
2609,guarded_rule,"{""aff_persistent"": [20, 3, 500], ""aff_quiet"": [30, 0, 150, 10], ""arr"": [9, 0, 10], ""nsr"": null}",3,0.75,0.7466201423097975,0.75,0.2941176470588235,0.78125,0.7725490196078432,0.78125,0.5,0.5
2610,guarded_rule,"{""aff_persistent"": null, ""aff_quiet"": null, ""arr"": [9, 0, 15], ""nsr"": null}",1,0.7205882352941176,0.7145604395604395,0.7205882352941176,0.4117647058823529,0.84375,0.8352941176470589,0.84375,0.5,0.5
